symbol,name,ensembl_id
TP53,Tumor Protein P53,ENSG00000141510
EGFR,Epidermal Growth Factor Receptor,ENSG00000146648
BRCA1,Breast Cancer 1,ENSG00000012048
MYC,MYC Proto-Oncogene,ENSG00000136997
PTEN,Phosphatase and Tensin Homolog,ENSG00000171862
KRAS,KRAS Proto-Oncogene,ENSG00000133703
CD4,CD4 Molecule,ENSG00000116815
CD8A,CD8a Molecule,ENSG00000153563
CD19,CD19 Molecule,ENSG00000177455
CD3E,CD3e Molecule,ENSG00000198851
FOXP3,Forkhead Box P3,ENSG00000049768
VEGFA,Vascular Endothelial Growth Factor A,ENSG00000112715
IL6,Interleukin 6,ENSG00000136244
TNF,Tumor Necrosis Factor,ENSG00000232810
GAPDH,Glyceraldehyde-3-Phosphate Dehydrogenase,ENSG00000111640
ACTB,Actin Beta,ENSG00000075624
SOX2,SRY-Box 2,ENSG00000181449
POU5F1,POU Class 5 Homeobox 1,ENSG00000204531
NANOG,Nanog Homeobox,ENSG00000111704
CCND1,Cyclin D1,ENSG00000110092
